full_name,age_range,current_status,work_style,career_inclination,highest_qualification,field_of_study,performance,key_subjects,technical_skills,skill_levels,tools,logical_thinking,mathematical_ability,communication,creativity,problem_solving,work_preference,learning_style,top_career_1,top_career_2,top_career_3,top_career_1_score,top_career_2_score,top_career_3_score,top_career_1_salary,top_career_2_salary,top_career_3_salary
user_8755,22-26,Graduate,Technical,Science / Research,Master,Computer Science,High,"['Physics', 'Business']","['Data Analysis', 'Programming']","{'Data Analysis': 'Intermediate', 'Programming': 'Intermediate'}","['Python', 'Excel']",8,10,8,4,6,Individual Work,Mixed,Research Scientist,Data Researcher,Lab Analyst,0.86,0.62,0.7,90020,114540,69619
user_6409,26-30,Student,Social,Science / Research,Intermediate,Arts,Low,"['Arts', 'Math']","['Data Analysis', 'Programming']","{'Data Analysis': 'Intermediate', 'Programming': 'Advanced'}","['Python', 'Excel']",5,7,8,6,9,Individual Work,Practical,Research Scientist,Data Researcher,Lab Analyst,0.85,0.75,0.55,120680,54673,54584
user_8234,22-26,Graduate,Technical,Healthcare,Bachelor,Computer Science,High,"['Physics', 'Computer Science']","['Writing', 'Data Analysis']","{'Writing': 'Advanced', 'Data Analysis': 'Beginner'}",['Excel'],6,7,6,8,5,Individual Work,Mixed,Biomedical Scientist,Pharmacist,Nurse,0.77,0.72,0.64,71008,69135,62615
user_6451,26-30,Graduate,Technical,Arts / Design,Master,Computer Science,Low,"['Business', 'Computer Science']","['Graphic Design', 'Writing']","{'Graphic Design': 'Advanced', 'Writing': 'Intermediate'}",['Canva'],7,9,7,7,8,Team Work,Theoretical,UI/UX Designer,Graphic Designer,Content Creator,0.86,0.62,0.74,88591,106599,78494
user_7057,18-22,Student,Analytical,Healthcare,Bachelor,Biology,Average,"['Math', 'Computer Science']","['Writing', 'Data Analysis']","{'Writing': 'Beginner', 'Data Analysis': 'Advanced'}",['Excel'],5,9,10,5,10,Team Work,Mixed,Biomedical Scientist,Nurse,Doctor,0.71,0.64,0.63,78842,86666,45694
user_5412,22-26,Working,Technical,IT / Tech,Master,Computer Science,High,"['Arts', 'Business']","['Programming', 'Data Analysis']","{'Programming': 'Advanced', 'Data Analysis': 'Beginner'}","['Python', 'React']",5,10,4,5,10,Individual Work,Mixed,Data Scientist,Software Engineer,Cyber Security Analyst,0.73,0.73,0.69,126950,108787,108765
user_1528,18-22,Graduate,Social,Business,Bachelor,Business,Average,"['Math', 'Physics']","['Marketing', 'Writing', 'Networking']","{'Marketing': 'Intermediate', 'Writing': 'Advanced', 'Networking': 'Beginner'}",['Excel'],9,8,9,4,8,Team Work,Mixed,HR Manager,Business Analyst,Marketing Manager,0.79,0.65,0.53,64637,114760,118329
user_9612,22-26,Student,Analytical,Healthcare,Intermediate,Business,Low,"['Arts', 'Math']","['Writing', 'Data Analysis']","{'Writing': 'Advanced', 'Data Analysis': 'Intermediate'}",['Excel'],6,8,8,9,5,Individual Work,Mixed,Nurse,Doctor,Biomedical Scientist,0.9,0.79,0.53,137628,117247,100551
user_3025,18-22,Graduate,Analytical,IT / Tech,Master,Business,Low,"['Biology', 'Business']","['Programming', 'Data Analysis']","{'Programming': 'Beginner', 'Data Analysis': 'Intermediate'}","['Python', 'React']",6,6,4,4,9,Team Work,Theoretical,Cyber Security Analyst,AI Engineer,Software Engineer,0.8,0.84,0.5,92175,113592,51896
user_9977,26-30,Graduate,Social,Healthcare,Bachelor,Business,Average,"['Math', 'Business']","['Writing', 'Data Analysis']","{'Writing': 'Advanced', 'Data Analysis': 'Intermediate'}",['Excel'],5,5,9,4,6,Individual Work,Practical,Doctor,Nurse,Biomedical Scientist,0.71,0.85,0.51,67513,124043,109332
